Rating,Reviews,Star Rating,Price,city_Banglore,city_Chennai,city_Delhi,city_Hyderabad,city_Kolkata,city_Mumbai,Rating Description_Average,Rating Description_Excellent,Rating Description_Good,Rating Description_Poor,Rating Description_Very Good,Hotel Name,Location,Nearest Landmark,Distance to Landmark,taxi_Start,taxi_Km
4.0,5593,5,7279,False,False,False,False,False,True,False,False,False,False,True,The Orchid Hotel Mumbai Vile Parle,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,930,29.0,30.0
4.6,4987,5,10044,False,False,False,False,False,True,False,True,False,False,False,Trident Bandra Kurla,Bandra Kurla Complex ,Chhatrapati Shivaji International Airport,7800,29.0,30.0
4.5,2445,5,15485,False,False,False,False,False,True,False,True,False,False,False,ITC Grand Central - A Luxury Collection Hotel,South Mumbai ,Chhatrapati Shivaji International Airport,17500,29.0,30.0
3.9,4707,4,5711,False,False,False,False,False,True,False,False,False,False,True,IRA By Orchid Mumbai ( VITS Mumbai),Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2300,29.0,30.0
4.6,5563,5,12030,False,False,False,False,False,True,False,True,False,False,False,Trident Nariman Point,Marine Drive ,Chhatrapati Shivaji International Airport,23470,29.0,30.0
4.1,6468,5,14160,False,False,False,False,False,True,False,False,False,False,True,The Lalit Mumbai,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1300,29.0,30.0
3.7,5340,4,5197,False,False,False,False,False,True,False,False,False,False,True,"Ginger Mumbai, Andheri East",Andheri East ,Chhatrapati Shivaji International Airport,3300,29.0,30.0
4.6,4563,5,10124,False,False,False,False,False,True,False,True,False,False,False,"Taj Santacruz, Mumbai",Near Mumbai Airport ,Chhatrapati Shivaji International Airport,560,29.0,30.0
3.9,121,3,4907,False,False,False,False,False,True,False,False,False,False,True,Hotel Surya Prakash,Chembur,Chhatrapati Shivaji International Airport,3500,29.0,30.0
4.2,1686,5,9991,False,False,False,False,False,True,False,False,False,False,True,Hilton Mumbai International Airport,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1600,29.0,30.0
